Path,Cycles,Box 0 volume,Box 0 energy,Box 0 pressure,Box 0 mol 0,Box 0 mol 1,Box 0 mol 2,Box 0 mol 3,Box 0 mol 4,Box 0 mol 5,Box 0 mol 6,Box 0 mol 7,Box 1 volume,Box 1 energy,Box 1 pressure,Box 1 mol 0,Box 1 mol 1,Box 1 mol 2,Box 1 mol 3,Box 1 mol 4,Box 1 mol 5,Box 1 mol 6,Box 1 mol 7
simulations/P3-T0-X52/1,46725,0.000000,-367099.151204,153.038691,0.000000,0.000000,37.183585,0.000000,8.788571,0.000000,0.000000,0.000000,1035628.962826,-2044.761381,19.928549,0.000000,0.000000,22.816415,0.000000,11.211429,0.000000,0.000000,0.000000
simulations/P3-T0-X52/2,41399,0.000000,-368053.434141,161.735059,0.000000,0.000000,36.428247,0.000000,9.718471,0.000000,0.000000,0.000000,1022348.741197,-1997.795539,20.042210,0.000000,0.000000,23.571753,0.000000,10.281529,0.000000,0.000000,0.000000
simulations/P0-T1-X52/1,36233,0.000000,-196996.764828,173.440283,0.000000,0.000000,20.405763,0.000000,4.731791,0.000000,0.000000,0.000000,7382999.269774,-650.168808,5.004735,0.000000,0.000000,39.594237,0.000000,15.268209,0.000000,0.000000,0.000000
simulations/P0-T1-X52/2,35903,0.000000,-198415.677826,170.656560,0.000000,0.000000,20.620617,0.000000,4.671643,0.000000,0.000000,0.000000,7368316.234386,-632.631881,5.006111,0.000000,0.000000,39.379383,0.000000,15.328357,0.000000,0.000000,0.000000
simulations/P1-T1-X52/1,44967,0.000000,-270318.497342,193.270736,0.000000,0.000000,27.732582,0.000000,6.610781,0.000000,0.000000,0.000000,3067541.156791,-1102.975399,10.002772,0.000000,0.000000,32.267418,0.000000,13.389219,0.000000,0.000000,0.000000
simulations/P1-T1-X52/2,37470,0.000000,-265954.882840,193.352455,0.000000,0.000000,26.863544,0.000000,7.030398,0.000000,0.000000,0.000000,3091360.396824,-1082.165974,10.013199,0.000000,0.000000,33.136456,0.000000,12.969602,0.000000,0.000000,0.000000
simulations/P2-T1-X52/1,42414,0.000000,-318713.983119,194.565437,0.000000,0.000000,32.205970,0.000000,8.229618,0.000000,0.000000,0.000000,1308869.248802,-1953.172859,20.016838,0.000000,0.000000,27.794030,0.000000,11.770382,0.000000,0.000000,0.000000
simulations/P2-T1-X52/2,46346,0.000000,-316228.564277,198.318533,0.000000,0.000000,31.855975,0.000000,8.319445,0.000000,0.000000,0.000000,1316041.172645,-1927.665534,19.875731,0.000000,0.000000,28.144025,0.000000,11.680555,0.000000,0.000000,0.000000
simulations/P3-T1-X52/1,40737,0.000000,-345232.772909,194.520227,0.000000,0.000000,35.090753,0.000000,8.603407,0.000000,0.000000,0.000000,575753.697706,-3608.256210,40.188843,0.000000,0.000000,24.909247,0.000000,11.396593,0.000000,0.000000,0.000000
simulations/P3-T1-X52/2,44275,0.000000,-345562.851948,194.338893,0.000000,0.000000,34.622405,0.000000,9.229362,0.000000,0.000000,0.000000,568023.293534,-3738.510962,40.149847,0.000000,0.000000,25.377595,0.000000,10.770638,0.000000,0.000000,0.000000
